7.212714672088623047e+00,9.273912429809570312e+00
4.975800991058349609e+00,6.784271717071533203e+00
7.465469360351562500e+00,9.913666725158691406e+00
7.251829147338867188e+00,6.363055706024169922e+00
5.801595211029052734e+00,6.802646160125732422e+00
5.968594074249267578e+00,1.005205249786376953e+01
4.378984928131103516e+00,9.036936759948730469e+00
5.728078842163085938e+00,8.492268562316894531e+00
6.597745895385742188e+00,8.952542304992675781e+00
6.315897464752197266e+00,6.993922233581542969e+00
3.956586360931396484e+00,8.618860244750976562e+00
4.890074729919433594e+00,7.108338356018066406e+00
5.573586463928222656e+00,1.016698551177978516e+01
6.805151939392089844e+00,1.021304893493652344e+01
8.243641853332519531e+00,8.441974639892578125e+00
6.514024257659912109e+00,1.012377357482910156e+01
6.987212181091308594e+00,1.007084178924560547e+01
7.846806526184082031e+00,8.012846946716308594e+00
5.169012069702148438e+00,7.654519557952880859e+00
6.517002105712890625e+00,6.534076690673828125e+00
7.307314395904541016e+00,9.431790351867675781e+00
4.853434562683105469e+00,7.157444000244140625e+00
4.700767517089843750e+00,6.525488376617431641e+00
5.422482967376708984e+00,7.092388629913330078e+00
7.495173454284667969e+00,9.078474998474121094e+00
8.202320098876953125e+00,7.726062297821044922e+00
7.956511974334716797e+00,8.589125633239746094e+00
7.817938804626464844e+00,8.721589088439941406e+00
7.587006092071533203e+00,6.505347728729248047e+00
4.646310329437255859e+00,8.755862236022949219e+00
5.246558666229248047e+00,6.938727855682373047e+00
6.678975582122802734e+00,8.654661178588867188e+00
7.667088031768798828e+00,7.306058883666992188e+00
4.473369598388671875e+00,8.972009658813476562e+00
4.335024356842041016e+00,8.631941795349121094e+00
7.139044284820556641e+00,6.232488155364990234e+00
4.524181842803955078e+00,7.770325660705566406e+00
5.531836509704589844e+00,8.513430595397949219e+00
8.387618064880371094e+00,7.663952350616455078e+00
6.161063194274902344e+00,9.653640747070312500e+00
5.781652450561523438e+00,6.291576862335205078e+00
5.142983436584472656e+00,9.436113357543945312e+00
4.165540218353271484e+00,8.159877777099609375e+00
4.447788238525390625e+00,7.183267593383789062e+00
5.108830928802490234e+00,6.413125514984130859e+00
6.773916721343994141e+00,9.810763359069824219e+00
6.979953765869140625e+00,9.801757812500000000e+00
